Product Name,Shade Code,R,G,B
Double Defence Exterior Emulsion,3-13-6,199,172,83
Double Defence Exterior Emulsion,3-13-7,175,145,54
Double Defence Exterior Emulsion,3-1-4,214,161,160
Double Defence Exterior Emulsion,3-14-1,238,237,211
Double Defence Exterior Emulsion,3-14-2,225,224,187
Double Defence Exterior Emulsion,3-14-3,227,220,167
Double Defence Exterior Emulsion,3-14-4,226,216,158
Double Defence Exterior Emulsion,3-14-5,213,198,125
Double Defence Exterior Emulsion,3-14-6,189,172,89
Double Defence Exterior Emulsion,3-14-7,158,134,59
Double Defence Exterior Emulsion,3-1-5,196,125,124
Double Defence Exterior Emulsion,3-15-1,234,234,212
Double Defence Exterior Emulsion,3-15-2,221,221,169
Double Defence Exterior Emulsion,3-15-3,217,210,143
Double Defence Exterior Emulsion,3-15-4,206,198,126
Double Defence Exterior Emulsion,3-15-5,204,189,106
Double Defence Exterior Emulsion,3-15-6,181,168,89
Double Defence Exterior Emulsion,3-15-7,152,136,57
Double Defence Exterior Emulsion,3-1-6,168,83,81
Double Defence Exterior Emulsion,3-16-1,240,240,220
Double Defence Exterior Emulsion,3-16-2,236,239,205
Double Defence Exterior Emulsion,3-16-3,221,224,178
Double Defence Exterior Emulsion,3-16-4,208,209,144
Double Defence Exterior Emulsion,3-16-5,199,196,125
Double Defence Exterior Emulsion,3-16-6,173,166,88
Double Defence Exterior Emulsion,3-16-7,147,140,55
Double Defence Exterior Emulsion,3-1-7,156,60,60
Double Defence Exterior Emulsion,3-17-1,231,236,194
Double Defence Exterior Emulsion,3-17-2,220,228,195
Double Defence Exterior Emulsion,3-17-3,212,223,180
Double Defence Exterior Emulsion,3-17-4,191,204,143
Double Defence Exterior Emulsion,3-17-5,186,194,124
Double Defence Exterior Emulsion,3-17-6,158,169,88
Double Defence Exterior Emulsion,3-17-7,125,134,58
Double Defence Exterior Emulsion,3-18-1,231,235,218
Double Defence Exterior Emulsion,3-18-2,217,228,196
Double Defence Exterior Emulsion,3-18-3,205,216,177
Double Defence Exterior Emulsion,3-18-4,182,200,145
Double Defence Exterior Emulsion,3-18-5,156,175,108
Double Defence Exterior Emulsion,3-18-6,137,162,83
Double Defence Exterior Emulsion,3-18-7,115,136,59
Double Defence Exterior Emulsion,3-20-1,231,240,222
Double Defence Exterior Emulsion,3-20-2,224,234,217
Double Defence Exterior Emulsion,3-20-3,191,214,179
Double Defence Exterior Emulsion,3-20-4,181,210,168
Double Defence Exterior Emulsion,3-20-5,149,185,129
Double Defence Exterior Emulsion,3-20-6,115,152,82
Double Defence Exterior Emulsion,3-20-7,96,132,61
Double Defence Exterior Emulsion,3-22-1,232,238,222
Double Defence Exterior Emulsion,3-22-2,219,231,216
Double Defence Exterior Emulsion,3-22-3,190,215,186
Double Defence Exterior Emulsion,3-22-4,176,206,169
Double Defence Exterior Emulsion,3-22-5,142,181,131
Double Defence Exterior Emulsion,3-22-6,100,144,81
Double Defence Exterior Emulsion,3-22-7,80,123,63
Double Defence Exterior Emulsion,3-24-1,217,235,212
Double Defence Exterior Emulsion,3-24-2,212,230,209
Double Defence Exterior Emulsion,3-24-3,186,217,190
Double Defence Exterior Emulsion,3-24-4,163,203,169
Double Defence Exterior Emulsion,3-24-5,124,173,134
Double Defence Exterior Emulsion,3-24-6,74,139,90
Double Defence Exterior Emulsion,3-24-7,54,115,66
Double Defence Exterior Emulsion,3-25-1,224,238,224
Double Defence Exterior Emulsion,3-25-2,217,231,218
Double Defence Exterior Emulsion,3-25-3,208,227,210
Double Defence Exterior Emulsion,3-25-4,164,205,174
Double Defence Exterior Emulsion,3-25-5,111,172,134
Double Defence Exterior Emulsion,3-25-6,61,136,89
Double Defence Exterior Emulsion,3-25-7,46,102,66
Double Defence Exterior Emulsion,3-26-1,225,236,226
Double Defence Exterior Emulsion,3-26-2,216,231,220
Double Defence Exterior Emulsion,3-26-3,192,219,206
Double Defence Exterior Emulsion,3-26-4,150,199,176
Double Defence Exterior Emulsion,3-26-5,101,170,141
Double Defence Exterior Emulsion,3-26-6,49,131,99
Double Defence Exterior Emulsion,3-26-7,8,109,76
Double Defence Exterior Emulsion,3-30-1,220,236,232
Double Defence Exterior Emulsion,3-30-2,191,222,224
Double Defence Exterior Emulsion,3-30-3,166,207,211
Double Defence Exterior Emulsion,3-30-4,120,183,190
Double Defence Exterior Emulsion,3-30-5,67,145,153
Double Defence Exterior Emulsion,3-30-6,29,126,137
Double Defence Exterior Emulsion,3-30-7,0,98,110
Double Defence Exterior Emulsion,3-33-1,212,228,229
Double Defence Exterior Emulsion,3-33-2,189,213,223
Double Defence Exterior Emulsion,3-33-3,167,199,216
Double Defence Exterior Emulsion,3-33-4,140,180,203
Double Defence Exterior Emulsion,3-33-5,91,149,180
Double Defence Exterior Emulsion,3-33-6,41,110,151
Double Defence Exterior Emulsion,3-33-7,25,86,121
Double Defence Exterior Emulsion,3-35-1,225,232,232
Double Defence Exterior Emulsion,3-35-2,210,227,235
Double Defence Exterior Emulsion,3-35-3,169,197,213
Double Defence Exterior Emulsion,3-35-4,123,163,189
Double Defence Exterior Emulsion,3-35-5,75,127,161
Double Defence Exterior Emulsion,3-35-6,37,108,150
Double Defence Exterior Emulsion,3-35-7,26,84,123
Double Defence Exterior Emulsion,3-36-1,210,217,220
Double Defence Exterior Emulsion,3-36-2,196,213,224
Double Defence Exterior Emulsion,3-36-3,170,190,208
Double Defence Exterior Emulsion,3-36-4,128,155,188
Double Defence Exterior Emulsion,3-36-5,85,114,150
Double Defence Exterior Emulsion,3-36-6,61,95,139
Double Defence Exterior Emulsion,3-36-7,43,72,122
Double Defence Exterior Emulsion,3-39-1,212,219,227
Double Defence Exterior Emulsion,3-39-2,197,202,220
Double Defence Exterior Emulsion,3-39-3,173,180,201
Double Defence Exterior Emulsion,3-39-4,144,147,182
Double Defence Exterior Emulsion,3-39-5,104,106,148
Double Defence Exterior Emulsion,3-39-6,84,85,131
Double Defence Exterior Emulsion,3-4-1,243,228,215
Double Defence Exterior Emulsion,3-41-1,218,219,228
Double Defence Exterior Emulsion,3-41-2,204,200,215
Double Defence Exterior Emulsion,3-41-3,189,184,208
Double Defence Exterior Emulsion,3-41-4,169,164,195
Double Defence Exterior Emulsion,3-41-5,137,126,167
Double Defence Exterior Emulsion,3-41-6,99,83,127
Double Defence Exterior Emulsion,3-41-7,85,67,112
Double Defence Exterior Emulsion,3-4-2,235,209,197
Double Defence Exterior Emulsion,3-4-3,233,191,177
Double Defence Exterior Emulsion,3-43-1,234,230,233
Double Defence Exterior Emulsion,3-43-2,215,203,215
Double Defence Exterior Emulsion,3-43-3,201,183,205
Double Defence Exterior Emulsion,3-43-4,176,147,179
Double Defence Exterior Emulsion,3-43-5,144,109,149
Double Defence Exterior Emulsion,3-43-6,130,84,126
Double Defence Exterior Emulsion,3-4-4,220,171,157
Double Defence Exterior Emulsion,3-44-1,233,225,227
Double Defence Exterior Emulsion,3-44-2,226,214,222
Double Defence Exterior Emulsion,3-44-3,206,180,203
Double Defence Exterior Emulsion,3-44-4,182,148,178
Double Defence Exterior Emulsion,3-44-5,157,104,142
Double Defence Exterior Emulsion,3-44-6,131,85,123
Double Defence Exterior Emulsion,3-4-5,204,140,120
Double Defence Exterior Emulsion,3-45-1,238,228,229
Double Defence Exterior Emulsion,3-45-2,217,194,204
